1 0x0 irq 0x0-> 0x60002544 Reset_Handler (from 0x0 None)
	4 0x60002554 irq 0x0-> 0x60013d00 SystemInit (from 0x60002544 Reset_Handler)
		15 0x60013e18 irq 0x0-> 0x60013e38 SystemInitHook (from 0x60013d00 SystemInit)
	13890 0x6000259e irq 0x0-> 0x60015240 entry (from 0x60002544 Reset_Handler)
		13891 0x60015244 irq 0x0-> 0x600152b4 rtthread_startup (from 0x60015240 entry)
			13892 0x600152b8 irq 0x0-> 0x60002400 rt_hw_interrupt_disable (from 0x600152b4 rtthread_startup)
			13895 0x600152bc irq 0x0-> 0x60010bdc rt_hw_board_init (from 0x600152b4 rtthread_startup)
				13896 0x60010be6 irq 0x0-> 0x6001056c BOARD_ConfigMPU (from 0x60010bdc rt_hw_board_init)
					13901 0x60010664 irq 0x0-> 0x600103b4 ARM_MPU_Disable (from 0x6001056c BOARD_ConfigMPU)
					13906 0x6001077e irq 0x0-> 0x60010374 ARM_MPU_Enable (from 0x6001056c BOARD_ConfigMPU)
				13920 0x60010bea irq 0x0-> 0x6000f3e8 BOARD_InitPins (from 0x60010bdc rt_hw_board_init)
					13921 0x6000f3f2 irq 0x0-> 0x6000f368 CLOCK_EnableClock (from 0x6000f3e8 BOARD_InitPins)
						13922 0x6000f37a irq 0x0-> 0x6000f2f8 CLOCK_ControlGate (from 0x6000f368 CLOCK_EnableClock)
							13924 0x6000f34a irq 0x0-> 0x6000f2a8 _SDK_AtomicLocalClearAndSet4Byte (from 0x6000f2f8 CLOCK_ControlGate)
					13930 0x6000f406 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f3e8 BOARD_InitPins)
					13933 0x6000f41a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f3e8 BOARD_InitPins)
					13936 0x6000f42e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f3e8 BOARD_InitPins)
					13939 0x6000f442 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f3e8 BOARD_InitPins)
					13942 0x6000f456 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f3e8 BOARD_InitPins)
