1 0x0 irq 0x0-> 0x8000220 main (from 0x0 None)
	2 0x8000234 irq 0x0-> 0x8000014 uart_stm32_init (from 0x8000220 main)
	7 0x8000250 irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		98 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	101 0x800025a irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		214 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	217 0x8000264 irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		314 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	317 0x800026e irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		408 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	411 0x8000278 irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		462 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	465 0x8000282 irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		508 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	511 0x800028a irq 0x0-> 0x80000f4 test_uart_echo (from 0x8000220 main)
		514 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			517 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		521 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			524 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		528 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			531 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		535 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			538 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		542 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			545 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		549 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			552 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		556 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			559 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		563 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			566 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		570 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			573 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		577 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			580 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		584 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			587 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		591 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			594 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		598 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			601 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		605 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
			608 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		612 0x800012c irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x80000f4 test_uart_echo)
